249,홍천한우,"서울특별시 서초구 효령로55길 47, (서초동,2층일부,3층일부)",한식,,
250,원조서초갈비,"서울특별시 서초구 반포대로 12, 2층 (서초동)",한식,,
251,맷돌로만청계산점,"서울특별시 서초구 청룡마을3길 11, (신원동)",한식,,
252,엉터리생고기 교대역점,"서울특별시 서초구 서초대로55길 3, 1층 (서초동, 애니빌딩)",한식,,
253,묘오또,"서울특별시 서초구 방배로28길 16, (방배동,1층)",한식,,
254,리차이,"서울특별시 서초구 서초대로25길 17, (방배동,1층)",중국식,,
255,만다린 강남점,"서울특별시 서초구 강남대로51길 5, 3층 (서초동)",중국식,,
256,서울만남의광장휴게소 한식당,"서울특별시 서초구 양재대로12길 73-71, (원지동, 서울만남의광장휴게소 한식당)",한식,,
257,함평한우 고깃집,"서울특별시 서초구 효령로49길 15, 1층 (서초동)",한식,,
258,임광루,"서울특별시 서초구 방배로 28, 1층 9호, 1층 10호 (방배동)",중국식,,
259,방배골,"서울특별시 서초구 동광로 7-4, (방배동)",한식,,
260,국수명가,"서울특별시 서초구 효령로53길 14, (서초동)",분식,,
261,장꼬방,"서울특별시 서초구 강남대로61길 27, 1층 (서초동)",한식,,
262,사조참치(사당역점),"서울특별시 서초구 방배천로2길 12, 지하1층 (방배동)",일식,,
263,제주흑다돈 강남직영점,"서울특별시 서초구 강남대로65길 10, 1층 (서초동)",한식,,
264,소소정,"서울특별시 서초구 동광로 68, 1층 (방배동)",한식,,
265,램하우스 서초법원점,"서울특별시 서초구 법원로2길 15, (서초동,,5,6 (202호))",한식,,
266,방배 육감,"서울특별시 서초구 효령로 19, 1,2층 (방배동, 지상)",한식,,
267,서초LA,"서울특별시 서초구 반포대로21길 36, (서초동)",한식,,
268,명선헌,"서울특별시 서초구 서운로 39, 원진빌딩 지하1층 (서초동)",한식,,
269,약초마을,"서울특별시 서초구 강남대로2길 3, (양재동,1층)",한식,,
270,한국회관,"서울특별시 서초구 사평대로18길 10, (반포동,가동 1층,2층)",한식,,
271,양모리 양대창,"서울특별시 서초구 방배로 174, 107호 (방배동)",한식,,
272,강남따로국밥,"서울특별시 서초구 신반포로47길 118, 2층 (잠원동, 근생빌딩A동)",한식,,
273,민어사랑,"서울특별시 서초구 효령로 182-8, 1층 (방배동)",한식,,
274,제주어항1950,"서울특별시 서초구 방배로 189, 1층 (방배동)",한식,,
275,어진,"서울특별시 서초구 강남대로18길 15-11, 1,2층 (양재동)",한식,,
276,송쉐프,"서울특별시 서초구 남부순환로339길 33, (서초동)",중국식,,
277,한우명가 노고단,"서울특별시 서초구 법원로 16, (서초동,정곡빌딩 동관 지하15호)",한식,,
278,평가옥2,"서울특별시 서초구 논현로 69, (양재동,1층,2층)",한식,,
279,루안,"서울특별시 서초구 방배중앙로 214, (방배동,지하1층)",중국식,,
280,평가옥(반포점),"서울특별시 서초구 사평대로 353, (반포동,서일빌딩 1층 (103-107호))",한식,,
281,유다까 회전초밥전문점,"서울특별시 서초구 방배로 215, (방배동,1층)",일식,,
282,진상샤브샤브,"서울특별시 서초구 효령로77길 30, 지하1층 (서초동, 강남역 푸르지오시티)",한식,,
283,하남돼지집 교대점,"서울특별시 서초구 서초대로46길 99, 1층 (서초동)",한식,,
284,듬북담북(뱅뱅점),"서울특별시 서초구 효령로 430, 1층 (서초동)",한식,,
285,황궁,"서울특별시 서초구 법원로 15, 지하1층 (서초동)",중국식,,
